0, 13, 25, 54, 64, 94, 11, 31, 98, 52, 17, 50, 37, 84, 88, 80, 4, 74, 45, 58, 52
13, 0, 73, 68, 40, 59, 82, 100, 79, 42, 6, 87, 73, 35, 41, 25, 9, 85, 70, 21, 57
25, 73, 0, 93, 85, 51, 12, 48, 71, 33, 85, 43, 56, 63, 98, 91, 41, 16, 15, 86, 74
54, 68, 93, 0, 41, 32, 70, 49, 50, 26, 4, 52, 27, 56, 28, 31, 24, 69, 2, 3, 65
64, 40, 85, 41, 0, 15, 71, 33, 55, 3, 99, 42, 70, 38, 8, 64, 12, 38, 25, 53, 43
94, 59, 51, 32, 15, 0, 16, 61, 26, 38, 75, 79, 12, 35, 4, 4, 95, 22, 41, 34, 21
11, 82, 12, 70, 71, 16, 0, 93, 46, 64, 19, 43, 81, 16, 80, 48, 15, 72, 61, 84, 50
31, 100, 48, 49, 33, 61, 93, 0, 80, 80, 50, 26, 53, 25, 46, 44, 65, 56, 60, 8, 86
98, 79, 71, 50, 55, 26, 46, 80, 0, 92, 36, 89, 26, 31, 3, 99, 60, 20, 96, 31, 25
52, 42, 33, 26, 3, 38, 64, 80, 92, 0, 69, 93, 20, 9, 73, 55, 6, 9, 44, 11, 16
17, 6, 85, 4, 99, 75, 19, 50, 36, 69, 0, 29, 63, 97, 85, 27, 76, 95, 4, 44, 16
50, 87, 43, 52, 42, 79, 43, 26, 89, 93, 29, 0, 39, 65, 66, 85, 52, 59, 69, 93, 48
37, 73, 56, 27, 70, 12, 81, 53, 26, 20, 63, 39, 0, 62, 42, 81, 91, 15, 78, 98, 89
84, 35, 63, 56, 38, 35, 16, 25, 31, 9, 97, 65, 62, 0, 33, 13, 67, 87, 81, 8, 27
88, 41, 98, 28, 8, 4, 80, 46, 3, 73, 85, 66, 42, 33, 0, 55, 58, 47, 44, 46, 82
80, 25, 91, 31, 64, 4, 48, 44, 99, 55, 27, 85, 81, 13, 55, 0, 41, 16, 77, 69, 54
4, 9, 41, 24, 12, 95, 15, 65, 60, 6, 76, 52, 91, 67, 58, 41, 0, 14, 15, 90, 7
74, 85, 16, 69, 38, 22, 72, 56, 20, 9, 95, 59, 15, 87, 47, 16, 14, 0, 21, 8, 93
45, 70, 15, 2, 25, 41, 61, 60, 96, 44, 4, 69, 78, 81, 44, 77, 15, 21, 0, 51, 4
58, 21, 86, 3, 53, 34, 84, 8, 31, 11, 44, 93, 98, 8, 46, 69, 90, 8, 51, 0, 24
52, 57, 74, 65, 43, 21, 50, 86, 25, 16, 16, 48, 89, 27, 82, 54, 7, 93, 4, 24, 0
