0, 81, 43, 80, 38, 3, 84, 55, 12, 33, 34, 93, 49, 3, 22, 88
81, 0, 65, 65, 90, 85, 26, 35, 85, 38, 72, 42, 51, 98, 72, 20
43, 65, 0, 39, 45, 86, 52, 84, 65, 79, 81, 83, 20, 25, 3, 27
80, 65, 39, 0, 36, 33, 27, 96, 11, 76, 42, 3, 53, 8, 15, 71
38, 90, 45, 36, 0, 92, 75, 96, 24, 90, 7, 82, 95, 51, 98, 42
3, 85, 86, 33, 92, 0, 72, 30, 99, 20, 26, 81, 71, 97, 32, 8
84, 26, 52, 27, 75, 72, 0, 71, 78, 52, 47, 97, 9, 42, 63, 95
55, 35, 84, 96, 96, 30, 71, 0, 88, 95, 46, 49, 69, 4, 62, 50
12, 85, 65, 11, 24, 99, 78, 88, 0, 20, 41, 63, 37, 52, 43, 11
33, 38, 79, 76, 90, 20, 52, 95, 20, 0, 9, 45, 87, 66, 11, 60
34, 72, 81, 42, 7, 26, 47, 46, 41, 9, 0, 16, 80, 2, 39, 37
93, 42, 83, 3, 82, 81, 97, 49, 63, 45, 16, 0, 24, 57, 21, 59
49, 51, 20, 53, 95, 71, 9, 69, 37, 87, 80, 24, 0, 69, 70, 59
3, 98, 25, 8, 51, 97, 42, 4, 52, 66, 2, 57, 69, 0, 76, 1
22, 72, 3, 15, 98, 32, 63, 62, 43, 11, 39, 21, 70, 76, 0, 30
88, 20, 27, 71, 42, 8, 95, 50, 11, 60, 37, 59, 59, 1, 30, 0
