0, 70, 92, 71, 20, 95, 86, 64, 24, 31, 89, 54, 100, 61, 64, 35, 49, 100, 62, 16, 7, 60
70, 0, 61, 98, 30, 48, 55, 94, 50, 11, 62, 61, 29, 35, 92, 11, 24, 53, 50, 49, 77, 10
92, 61, 0, 70, 31, 10, 56, 81, 29, 73, 75, 98, 16, 43, 74, 72, 89, 23, 100, 28, 68, 27
71, 98, 70, 0, 58, 27, 23, 32, 1, 6, 58, 70, 63, 74, 82, 23, 54, 84, 69, 38, 1, 28
20, 30, 31, 58, 0, 39, 40, 42, 81, 59, 47, 28, 49, 57, 84, 74, 49, 86, 62, 50, 98, 48
95, 48, 10, 27, 39, 0, 77, 59, 27, 16, 50, 72, 23, 16, 57, 67, 53, 36, 3, 59, 39, 17
86, 55, 56, 23, 40, 77, 0, 92, 27, 41, 81, 21, 61, 65, 98, 62, 86, 36, 84, 9, 5, 2
64, 94, 81, 32, 42, 59, 92, 0, 14, 10, 98, 2, 70, 74, 27, 69, 59, 80, 80, 5, 13, 34
24, 50, 29, 1, 81, 27, 27, 14, 0, 32, 41, 4, 2, 95, 23, 17, 10, 11, 68, 43, 33, 79
31, 11, 73, 6, 59, 16, 41, 10, 32, 0, 57, 8, 81, 55, 45, 77, 91, 52, 31, 23, 80, 59
89, 62, 75, 58, 47, 50, 81, 98, 41, 57, 0, 60, 37, 69, 35, 20, 59, 27, 65, 88, 33, 67
54, 61, 98, 70, 28, 72, 21, 2, 4, 8, 60, 0, 44, 61, 63, 82, 84, 64, 60, 70, 73, 19
100, 29, 16, 63, 49, 23, 61, 70, 2, 81, 37, 44, 0, 58, 32, 22, 43, 26, 10, 58, 62, 69
61, 35, 43, 74, 57, 16, 65, 74, 95, 55, 69, 61, 58, 0, 23, 26, 27, 19, 86, 13, 60, 56
64, 92, 74, 82, 84, 57, 98, 27, 23, 45, 35, 63, 32, 23, 0, 8, 73, 62, 90, 56, 96, 12
35, 11, 72, 23, 74, 67, 62, 69, 17, 77, 20, 82, 22, 26, 8, 0, 51, 71, 95, 31, 92, 98
49, 24, 89, 54, 49, 53, 86, 59, 10, 91, 59, 84, 43, 27, 73, 51, 0, 70, 88, 10, 48, 94
100, 53, 23, 84, 86, 36, 36, 80, 11, 52, 27, 64, 26, 19, 62, 71, 70, 0, 18, 12, 21, 38
62, 50, 100, 69, 62, 3, 84, 80, 68, 31, 65, 60, 10, 86, 90, 95, 88, 18, 0, 97, 93, 23
16, 49, 28, 38, 50, 59, 9, 5, 43, 23, 88, 70, 58, 13, 56, 31, 10, 12, 97, 0, 65, 35
7, 77, 68, 1, 98, 39, 5, 13, 33, 80, 33, 73, 62, 60, 96, 92, 48, 21, 93, 65, 0, 29
60, 10, 27, 28, 48, 17, 2, 34, 79, 59, 67, 19, 69, 56, 12, 98, 94, 38, 23, 35, 29, 0
