0, 6, 79, 68, 6, 90, 52, 67, 55, 19, 55, 64, 37, 98, 85, 84, 78, 75, 90, 68, 17, 75, 11, 32, 62, 10, 55, 41, 52, 64
6, 0, 5, 29, 6, 6, 34, 12, 22, 32, 24, 14, 87, 85, 47, 48, 98, 98, 88, 56, 78, 81, 70, 95, 61, 22, 21, 88, 46, 6
79, 5, 0, 11, 82, 83, 7, 85, 2, 51, 61, 52, 38, 22, 63, 18, 28, 52, 17, 99, 16, 92, 84, 68, 43, 14, 20, 9, 31, 12
68, 29, 11, 0, 89, 91, 26, 25, 49, 35, 20, 57, 12, 46, 53, 20, 28, 54, 47, 1, 6, 63, 15, 7, 94, 7, 29, 54, 88, 7
6, 6, 82, 89, 0, 34, 38, 2, 87, 19, 98, 68, 43, 85, 24, 72, 18, 1, 64, 23, 68, 81, 68, 24, 98, 9, 94, 74, 14, 24
90, 6, 83, 91, 34, 0, 95, 63, 37, 93, 55, 20, 31, 7, 47, 32, 49, 93, 13, 36, 25, 55, 59, 80, 8, 17, 52, 75, 74, 29
52, 34, 7, 26, 38, 95, 0, 73, 52, 24, 39, 9, 84, 63, 92, 78, 65, 65, 51, 7, 64, 33, 36, 79, 62, 49, 25, 3, 95, 34
67, 12, 85, 25, 2, 63, 73, 0, 45, 61, 53, 66, 25, 97, 47, 12, 74, 8, 37, 23, 48, 61, 96, 29, 38, 62, 95, 64, 66, 3
55, 22, 2, 49, 87, 37, 52, 45, 0, 57, 100, 10, 6, 98, 27, 60, 36, 54, 62, 89, 84, 15, 59, 45, 33, 14, 42, 44, 74, 27
19, 32, 51, 35, 19, 93, 24, 61, 57, 0, 88, 55, 48, 39, 5, 43, 2, 26, 49, 74, 41, 93, 28, 72, 37, 59, 13, 80, 36, 22
55, 24, 61, 20, 98, 55, 39, 53, 100, 88, 0, 81, 43, 75, 64, 22, 83, 48, 50, 47, 96, 20, 32, 75, 60, 10, 99, 26, 95, 99
64, 14, 52, 57, 68, 20, 9, 66, 10, 55, 81, 0, 27, 1, 35, 52, 73, 21, 95, 73, 71, 96, 57, 66, 40, 75, 64, 78, 40, 12
37, 87, 38, 12, 43, 31, 84, 25, 6, 48, 43, 27, 0, 19, 89, 22, 99, 7, 21, 22, 35, 62, 2, 17, 6, 71, 25, 18, 65, 69
98, 85, 22, 46, 85, 7, 63, 97, 98, 39, 75, 1, 19, 0, 84, 94, 39, 56, 89, 89, 26, 67, 65, 10, 99, 52, 62, 70, 55, 82
85, 47, 63, 53, 24, 47, 92, 47, 27, 5, 64, 35, 89, 84, 0, 10, 42, 16, 31, 67, 99, 9, 72, 97, 90, 10, 75, 51, 38, 36
84, 48, 18, 20, 72, 32, 78, 12, 60, 43, 22, 52, 22, 94, 10, 0, 25, 1, 93, 65, 51, 69, 89, 30, 64, 92, 24, 3, 48, 95
78, 98, 28, 28, 18, 49, 65, 74, 36, 2, 83, 73, 99, 39, 42, 25, 0, 100, 19, 75, 50, 66, 60, 33, 67, 12, 48, 45, 1, 50
75, 98, 52, 54, 1, 93, 65, 8, 54, 26, 48, 21, 7, 56, 16, 1, 100, 0, 75, 11, 75, 52, 42, 10, 36, 32, 21, 45, 20, 17
90, 88, 17, 47, 64, 13, 51, 37, 62, 49, 50, 95, 21, 89, 31, 93, 19, 75, 0, 96, 37, 80, 23, 64, 5, 58, 18, 23, 79, 24
68, 56, 99, 1, 23, 36, 7, 23, 89, 74, 47, 73, 22, 89, 67, 65, 75, 11, 96, 0, 52, 95, 47, 17, 62, 25, 41, 99, 62, 14
17, 78, 16, 6, 68, 25, 64, 48, 84, 41, 96, 71, 35, 26, 99, 51, 50, 75, 37, 52, 0, 58, 97, 4, 28, 97, 42, 78, 28, 4
75, 81, 92, 63, 81, 55, 33, 61, 15, 93, 20, 96, 62, 67, 9, 69, 66, 52, 80, 95, 58, 0, 71, 56, 57, 50, 5, 29, 62, 50
11, 70, 84, 15, 68, 59, 36, 96, 59, 28, 32, 57, 2, 65, 72, 89, 60, 42, 23, 47, 97, 71, 0, 31, 85, 30, 70, 63, 95, 90
32, 95, 68, 7, 24, 80, 79, 29, 45, 72, 75, 66, 17, 10, 97, 30, 33, 10, 64, 17, 4, 56, 31, 0, 95, 2, 55, 89, 4, 22
62, 61, 43, 94, 98, 8, 62, 38, 33, 37, 60, 40, 6, 99, 90, 64, 67, 36, 5, 62, 28, 57, 85, 95, 0, 93, 28, 6, 25, 53
10, 22, 14, 7, 9, 17, 49, 62, 14, 59, 10, 75, 71, 52, 10, 92, 12, 32, 58, 25, 97, 50, 30, 2, 93, 0, 70, 7, 79, 26
55, 21, 20, 29, 94, 52, 25, 95, 42, 13, 99, 64, 25, 62, 75, 24, 48, 21, 18, 41, 42, 5, 70, 55, 28, 70, 0, 58, 72, 87
41, 88, 9, 54, 74, 75, 3, 64, 44, 80, 26, 78, 18, 70, 51, 3, 45, 45, 23, 99, 78, 29, 63, 89, 6, 7, 58, 0, 94, 51
52, 46, 31, 88, 14, 74, 95, 66, 74, 36, 95, 40, 65, 55, 38, 48, 1, 20, 79, 62, 28, 62, 95, 4, 25, 79, 72, 94, 0, 9
64, 6, 12, 7, 24, 29, 34, 3, 27, 22, 99, 12, 69, 82, 36, 95, 50, 17, 24, 14, 4, 50, 90, 22, 53, 26, 87, 51, 9, 0
