0, 6, 15, 23, 72, 24, 39, 70, 6, 48, 47, 30, 9, 33, 32, 2, 51, 18, 49, 83, 2, 92, 47, 71
6, 0, 28, 16, 57, 53, 82, 16, 94, 11, 71, 75, 60, 7, 33, 42, 28, 41, 23, 5, 76, 26, 67, 14
15, 28, 0, 34, 44, 90, 41, 88, 62, 42, 72, 10, 78, 99, 27, 7, 78, 37, 58, 10, 29, 76, 52, 28
23, 16, 34, 0, 46, 95, 41, 100, 15, 42, 11, 90, 99, 1, 43, 16, 50, 39, 76, 29, 21, 75, 63, 90
72, 57, 44, 46, 0, 15, 90, 61, 53, 13, 36, 16, 45, 40, 93, 7, 27, 88, 95, 78, 87, 38, 96, 2
24, 53, 90, 95, 15, 0, 59, 66, 29, 38, 2, 26, 53, 33, 44, 20, 76, 59, 33, 4, 61, 8, 11, 85
39, 82, 41, 41, 90, 59, 0, 98, 29, 59, 3, 66, 67, 27, 36, 47, 37, 97, 59, 37, 33, 30, 60, 42
70, 16, 88, 100, 61, 66, 98, 0, 68, 26, 68, 47, 80, 13, 54, 80, 47, 48, 36, 11, 13, 33, 94, 71
6, 94, 62, 15, 53, 29, 29, 68, 0, 100, 81, 55, 4, 69, 88, 79, 1, 52, 87, 67, 85, 81, 20, 88
48, 11, 42, 42, 13, 38, 59, 26, 100, 0, 4, 29, 19, 18, 63, 46, 46, 37, 59, 48, 53, 18, 38, 47
47, 71, 72, 11, 36, 2, 3, 68, 81, 4, 0, 40, 48, 31, 12, 38, 81, 46, 37, 65, 70, 83, 10, 35
30, 75, 10, 90, 16, 26, 66, 47, 55, 29, 40, 0, 61, 39, 33, 68, 2, 61, 57, 82, 94, 47, 82, 15
9, 60, 78, 99, 45, 53, 67, 80, 4, 19, 48, 61, 0, 45, 79, 72, 93, 41, 22, 7, 85, 98, 98, 100
33, 7, 99, 1, 40, 33, 27, 13, 69, 18, 31, 39, 45, 0, 96, 33, 8, 36, 69, 55, 4, 32, 64, 53
32, 33, 27, 43, 93, 44, 36, 54, 88, 63, 12, 33, 79, 96, 0, 90, 72, 82, 17, 50, 83, 81, 33, 23
2, 42, 7, 16, 7, 20, 47, 80, 79, 46, 38, 68, 72, 33, 90, 0, 67, 89, 58, 38, 98, 97, 71, 48
51, 28, 78, 50, 27, 76, 37, 47, 1, 46, 81, 2, 93, 8, 72, 67, 0, 56, 83, 68, 22, 5, 5, 35
18, 41, 37, 39, 88, 59, 97, 48, 52, 37, 46, 61, 41, 36, 82, 89, 56, 0, 59, 12, 47, 66, 81, 2
49, 23, 58, 76, 95, 33, 59, 36, 87, 59, 37, 57, 22, 69, 17, 58, 83, 59, 0, 10, 86, 3, 1, 9
83, 5, 10, 29, 78, 4, 37, 11, 67, 48, 65, 82, 7, 55, 50, 38, 68, 12, 10, 0, 72, 23, 12, 43
2, 76, 29, 21, 87, 61, 33, 13, 85, 53, 70, 94, 85, 4, 83, 98, 22, 47, 86, 72, 0, 26, 7, 22
92, 26, 76, 75, 38, 8, 30, 33, 81, 18, 83, 47, 98, 32, 81, 97, 5, 66, 3, 23, 26, 0, 44, 3
47, 67, 52, 63, 96, 11, 60, 94, 20, 38, 10, 82, 98, 64, 33, 71, 5, 81, 1, 12, 7, 44, 0, 34
71, 14, 28, 90, 2, 85, 42, 71, 88, 47, 35, 15, 100, 53, 23, 48, 35, 2, 9, 43, 22, 3, 34, 0
