0, 64, 30, 25, 73, 29, 60, 66, 75, 98, 9, 85, 26
64, 0, 69, 72, 70, 84, 48, 57, 73, 62, 87, 74, 93
30, 69, 0, 86, 23, 30, 70, 79, 54, 52, 27, 19, 46
25, 72, 86, 0, 83, 72, 51, 26, 42, 54, 31, 71, 2
73, 70, 23, 83, 0, 87, 29, 79, 11, 99, 98, 41, 82
29, 84, 30, 72, 87, 0, 86, 30, 21, 67, 75, 54, 42
60, 48, 70, 51, 29, 86, 0, 49, 69, 86, 47, 60, 93
66, 57, 79, 26, 79, 30, 49, 0, 68, 95, 36, 2, 85
75, 73, 54, 42, 11, 21, 69, 68, 0, 74, 67, 46, 78
98, 62, 52, 54, 99, 67, 86, 95, 74, 0, 74, 60, 91
9, 87, 27, 31, 98, 75, 47, 36, 67, 74, 0, 58, 79
85, 74, 19, 71, 41, 54, 60, 2, 46, 60, 58, 0, 10
26, 93, 46, 2, 82, 42, 93, 85, 78, 91, 79, 10, 0
