0, 75, 64, 40, 75, 26, 98, 1, 90, 76, 38, 79, 29, 78
75, 0, 98, 20, 66, 100, 30, 43, 48, 5, 10, 65, 82, 19
64, 98, 0, 21, 77, 28, 91, 82, 43, 22, 53, 35, 11, 51
40, 20, 21, 0, 55, 52, 95, 18, 40, 27, 47, 98, 99, 10
75, 66, 77, 55, 0, 10, 96, 62, 26, 53, 80, 23, 22, 20
26, 100, 28, 52, 10, 0, 86, 18, 86, 22, 28, 40, 50, 66
98, 30, 91, 95, 96, 86, 0, 2, 5, 4, 68, 98, 38, 60
1, 43, 82, 18, 62, 18, 2, 0, 8, 26, 55, 73, 14, 46
90, 48, 43, 40, 26, 86, 5, 8, 0, 72, 56, 17, 11, 88
76, 5, 22, 27, 53, 22, 4, 26, 72, 0, 78, 35, 90, 9
38, 10, 53, 47, 80, 28, 68, 55, 56, 78, 0, 33, 47, 16
79, 65, 35, 98, 23, 40, 98, 73, 17, 35, 33, 0, 71, 3
29, 82, 11, 99, 22, 50, 38, 14, 11, 90, 47, 71, 0, 61
78, 19, 51, 10, 20, 66, 60, 46, 88, 9, 16, 3, 61, 0
