0, 63, 99, 73, 22, 88, 8, 46, 60, 91, 71, 2, 93, 9, 90, 57, 57, 32, 11, 18, 86, 5, 51, 51, 86, 91, 52, 45
63, 0, 39, 26, 54, 45, 3, 13, 76, 11, 71, 36, 26, 29, 9, 52, 87, 63, 81, 98, 69, 100, 40, 55, 40, 10, 80, 26
99, 39, 0, 10, 92, 60, 62, 43, 31, 92, 78, 80, 74, 43, 11, 57, 2, 64, 43, 55, 84, 48, 24, 90, 2, 23, 73, 11
73, 26, 10, 0, 89, 34, 17, 52, 16, 12, 5, 33, 22, 3, 51, 12, 3, 9, 31, 100, 70, 2, 40, 60, 89, 12, 1, 97
22, 54, 92, 89, 0, 34, 97, 90, 53, 87, 87, 94, 13, 18, 90, 81, 19, 15, 46, 40, 100, 72, 95, 66, 9, 83, 100, 37
88, 45, 60, 34, 34, 0, 23, 73, 79, 81, 25, 10, 94, 98, 94, 11, 25, 20, 61, 75, 73, 11, 8, 92, 61, 46, 37, 67
8, 3, 62, 17, 97, 23, 0, 72, 94, 13, 46, 56, 25, 67, 26, 40, 58, 1, 80, 10, 93, 39, 69, 56, 26, 99, 53, 15
46, 13, 43, 52, 90, 73, 72, 0, 91, 51, 44, 49, 90, 17, 58, 64, 47, 19, 85, 95, 22, 48, 48, 69, 16, 72, 95, 99
60, 76, 31, 16, 53, 79, 94, 91, 0, 4, 22, 44, 56, 13, 71, 77, 2, 51, 29, 93, 88, 46, 82, 70, 80, 60, 65, 17
91, 11, 92, 12, 87, 81, 13, 51, 4, 0, 69, 62, 93, 74, 4, 26, 30, 100, 55, 94, 48, 59, 17, 75, 69, 70, 75, 31
71, 71, 78, 5, 87, 25, 46, 44, 22, 69, 0, 61, 29, 81, 66, 56, 5, 43, 88, 52, 98, 56, 8, 67, 64, 20, 13, 23
2, 36, 80, 33, 94, 10, 56, 49, 44, 62, 61, 0, 57, 26, 8, 23, 93, 47, 69, 50, 28, 36, 50, 89, 18, 35, 95, 48
93, 26, 74, 22, 13, 94, 25, 90, 56, 93, 29, 57, 0, 15, 35, 100, 15, 84, 93, 41, 90, 56, 49, 16, 41, 16, 60, 73
9, 29, 43, 3, 18, 98, 67, 17, 13, 74, 81, 26, 15, 0, 2, 45, 50, 78, 25, 83, 48, 45, 41, 34, 38, 36, 42, 94
90, 9, 11, 51, 90, 94, 26, 58, 71, 4, 66, 8, 35, 2, 0, 98, 60, 70, 7, 73, 54, 19, 72, 27, 91, 77, 6, 83
57, 52, 57, 12, 81, 11, 40, 64, 77, 26, 56, 23, 100, 45, 98, 0, 65, 84, 33, 77, 76, 46, 31, 65, 52, 94, 74, 88
57, 87, 2, 3, 19, 25, 58, 47, 2, 30, 5, 93, 15, 50, 60, 65, 0, 27, 1, 65, 57, 16, 66, 99, 47, 68, 2, 40
32, 63, 64, 9, 15, 20, 1, 19, 51, 100, 43, 47, 84, 78, 70, 84, 27, 0, 14, 11, 2, 59, 48, 47, 78, 30, 82, 29
11, 81, 43, 31, 46, 61, 80, 85, 29, 55, 88, 69, 93, 25, 7, 33, 1, 14, 0, 99, 40, 98, 65, 26, 86, 16, 68, 25
18, 98, 55, 100, 40, 75, 10, 95, 93, 94, 52, 50, 41, 83, 73, 77, 65, 11, 99, 0, 89, 16, 18, 79, 59, 76, 32, 26
86, 69, 84, 70, 100, 73, 93, 22, 88, 48, 98, 28, 90, 48, 54, 76, 57, 2, 40, 89, 0, 51, 83, 100, 36, 92, 86, 60
5, 100, 48, 2, 72, 11, 39, 48, 46, 59, 56, 36, 56, 45, 19, 46, 16, 59, 98, 16, 51, 0, 31, 5, 48, 61, 78, 2
51, 40, 24, 40, 95, 8, 69, 48, 82, 17, 8, 50, 49, 41, 72, 31, 66, 48, 65, 18, 83, 31, 0, 25, 53, 56, 5, 23
51, 55, 90, 60, 66, 92, 56, 69, 70, 75, 67, 89, 16, 34, 27, 65, 99, 47, 26, 79, 100, 5, 25, 0, 25, 15, 62, 60
86, 40, 2, 89, 9, 61, 26, 16, 80, 69, 64, 18, 41, 38, 91, 52, 47, 78, 86, 59, 36, 48, 53, 25, 0, 2, 59, 77
91, 10, 23, 12, 83, 46, 99, 72, 60, 70, 20, 35, 16, 36, 77, 94, 68, 30, 16, 76, 92, 61, 56, 15, 2, 0, 25, 70
52, 80, 73, 1, 100, 37, 53, 95, 65, 75, 13, 95, 60, 42, 6, 74, 2, 82, 68, 32, 86, 78, 5, 62, 59, 25, 0, 55
45, 26, 11, 97, 37, 67, 15, 99, 17, 31, 23, 48, 73, 94, 83, 88, 40, 29, 25, 26, 60, 2, 23, 60, 77, 70, 55, 0
