0, 61, 80, 79, 17, 39, 83, 85, 77, 56, 29, 12, 59, 49, 8, 71, 70, 7, 34, 66, 89, 5, 29, 43, 49
61, 0, 38, 75, 53, 7, 88, 67, 46, 72, 78, 31, 60, 54, 4, 50, 56, 97, 45, 33, 72, 34, 34, 99, 37
80, 38, 0, 94, 49, 63, 43, 75, 6, 97, 27, 83, 93, 14, 23, 64, 75, 75, 60, 79, 25, 67, 19, 81, 76
79, 75, 94, 0, 51, 72, 77, 93, 97, 2, 74, 53, 7, 99, 82, 15, 71, 5, 33, 75, 76, 76, 74, 93, 74
17, 53, 49, 51, 0, 43, 74, 39, 22, 95, 1, 13, 29, 50, 84, 61, 34, 92, 88, 61, 29, 87, 75, 49, 18
39, 7, 63, 72, 43, 0, 75, 80, 54, 66, 53, 4, 92, 88, 58, 5, 54, 10, 90, 65, 30, 70, 33, 9, 8
83, 88, 43, 77, 74, 75, 0, 7, 64, 79, 46, 33, 84, 94, 29, 83, 40, 28, 1, 69, 91, 81, 52, 58, 77
85, 67, 75, 93, 39, 80, 7, 0, 61, 31, 1, 38, 84, 34, 55, 27, 44, 61, 84, 8, 81, 90, 100, 87, 96
77, 46, 6, 97, 22, 54, 64, 61, 0, 77, 24, 37, 69, 58, 91, 21, 15, 14, 95, 72, 49, 83, 80, 64, 52
56, 72, 97, 2, 95, 66, 79, 31, 77, 0, 2, 67, 54, 69, 27, 23, 40, 92, 85, 49, 26, 30, 70, 1, 62
29, 78, 27, 74, 1, 53, 46, 1, 24, 2, 0, 16, 33, 52, 24, 42, 48, 29, 100, 41, 80, 79, 63, 30, 43
12, 31, 83, 53, 13, 4, 33, 38, 37, 67, 16, 0, 4, 75, 56, 47, 6, 99, 29, 89, 98, 91, 80, 52, 34
59, 60, 93, 7, 29, 92, 84, 84, 69, 54, 33, 4, 0, 38, 55, 29, 72, 77, 36, 16, 56, 86, 15, 73, 45
49, 54, 14, 99, 50, 88, 94, 34, 58, 69, 52, 75, 38, 0, 79, 33, 47, 17, 56, 85, 83, 58, 59, 66, 47
8, 4, 23, 82, 84, 58, 29, 55, 91, 27, 24, 56, 55, 79, 0, 67, 64, 11, 60, 53, 24, 47, 89, 93, 32
71, 50, 64, 15, 61, 5, 83, 27, 21, 23, 42, 47, 29, 33, 67, 0, 62, 55, 57, 50, 15, 88, 75, 72, 91
70, 56, 75, 71, 34, 54, 40, 44, 15, 40, 48, 6, 72, 47, 64, 62, 0, 7, 44, 92, 94, 8, 44, 20, 70
7, 97, 75, 5, 92, 10, 28, 61, 14, 92, 29, 99, 77, 17, 11, 55, 7, 0, 100, 96, 47, 39, 9, 60, 97
34, 45, 60, 33, 88, 90, 1, 84, 95, 85, 100, 29, 36, 56, 60, 57, 44, 100, 0, 86, 78, 42, 65, 85, 10
66, 33, 79, 75, 61, 65, 69, 8, 72, 49, 41, 89, 16, 85, 53, 50, 92, 96, 86, 0, 64, 75, 98, 28, 71
89, 72, 25, 76, 29, 30, 91, 81, 49, 26, 80, 98, 56, 83, 24, 15, 94, 47, 78, 64, 0, 36, 56, 53, 38
5, 34, 67, 76, 87, 70, 81, 90, 83, 30, 79, 91, 86, 58, 47, 88, 8, 39, 42, 75, 36, 0, 49, 42, 23
29, 34, 19, 74, 75, 33, 52, 100, 80, 70, 63, 80, 15, 59, 89, 75, 44, 9, 65, 98, 56, 49, 0, 9, 48
43, 99, 81, 93, 49, 9, 58, 87, 64, 1, 30, 52, 73, 66, 93, 72, 20, 60, 85, 28, 53, 42, 9, 0, 19
49, 37, 76, 74, 18, 8, 77, 96, 52, 62, 43, 34, 45, 47, 32, 91, 70, 97, 10, 71, 38, 23, 48, 19, 0
