0, 15, 81, 2, 43, 11, 34, 36, 49, 69, 28, 39, 98, 22, 49
15, 0, 83, 7, 49, 93, 90, 81, 42, 79, 53, 29, 24, 83, 7
81, 83, 0, 92, 80, 91, 50, 79, 64, 24, 60, 38, 94, 26, 40
2, 7, 92, 0, 17, 12, 24, 40, 91, 27, 40, 98, 82, 31, 50
43, 49, 80, 17, 0, 63, 78, 48, 6, 86, 1, 81, 39, 93, 50
11, 93, 91, 12, 63, 0, 52, 9, 86, 61, 85, 66, 91, 92, 91
34, 90, 50, 24, 78, 52, 0, 66, 83, 15, 36, 72, 29, 72, 23
36, 81, 79, 40, 48, 9, 66, 0, 42, 5, 17, 99, 46, 25, 28
49, 42, 64, 91, 6, 86, 83, 42, 0, 87, 65, 56, 77, 43, 91
69, 79, 24, 27, 86, 61, 15, 5, 87, 0, 3, 41, 59, 10, 50
28, 53, 60, 40, 1, 85, 36, 17, 65, 3, 0, 61, 81, 43, 19
39, 29, 38, 98, 81, 66, 72, 99, 56, 41, 61, 0, 8, 68, 73
98, 24, 94, 82, 39, 91, 29, 46, 77, 59, 81, 8, 0, 41, 67
22, 83, 26, 31, 93, 92, 72, 25, 43, 10, 43, 68, 41, 0, 34
49, 7, 40, 50, 50, 91, 23, 28, 91, 50, 19, 73, 67, 34, 0
