0, 72, 79, 88, 14, 70, 40, 63, 92, 59, 45, 20
72, 0, 71, 43, 78, 39, 80, 30, 7, 40, 95, 70
79, 71, 0, 11, 71, 92, 90, 79, 48, 9, 40, 3
88, 43, 11, 0, 1, 18, 11, 4, 9, 95, 69, 57
14, 78, 71, 1, 0, 99, 7, 32, 34, 20, 92, 94
70, 39, 92, 18, 99, 0, 55, 50, 97, 67, 26, 1
40, 80, 90, 11, 7, 55, 0, 36, 58, 12, 24, 88
63, 30, 79, 4, 32, 50, 36, 0, 4, 85, 28, 89
92, 7, 48, 9, 34, 97, 58, 4, 0, 68, 40, 23
59, 40, 9, 95, 20, 67, 12, 85, 68, 0, 19, 91
45, 95, 40, 69, 92, 26, 24, 28, 40, 19, 0, 16
20, 70, 3, 57, 94, 1, 88, 89, 23, 91, 16, 0
