0, 78, 46, 56, 69, 81, 3, 46, 35, 67, 93, 83, 92, 20, 13, 46, 9, 66, 53
78, 0, 73, 75, 57, 24, 64, 74, 63, 99, 94, 27, 89, 6, 71, 32, 82, 3, 23
46, 73, 0, 74, 40, 77, 99, 22, 91, 53, 37, 6, 11, 80, 88, 90, 39, 4, 1
56, 75, 74, 0, 39, 79, 53, 17, 4, 27, 15, 74, 66, 28, 47, 45, 33, 78, 90
69, 57, 40, 39, 0, 98, 93, 94, 89, 94, 79, 46, 81, 66, 95, 61, 1, 75, 17
81, 24, 77, 79, 98, 0, 76, 79, 20, 79, 81, 82, 8, 62, 2, 34, 7, 63, 71
3, 64, 99, 53, 93, 76, 0, 57, 57, 16, 99, 92, 21, 36, 63, 9, 82, 74, 98
46, 74, 22, 17, 94, 79, 57, 0, 44, 28, 36, 89, 99, 30, 86, 5, 74, 9, 27
35, 63, 91, 4, 89, 20, 57, 44, 0, 69, 61, 83, 34, 60, 59, 29, 13, 78, 38
67, 99, 53, 27, 94, 79, 16, 28, 69, 0, 97, 78, 96, 49, 79, 63, 66, 27, 20
93, 94, 37, 15, 79, 81, 99, 36, 61, 97, 0, 100, 70, 61, 27, 22, 9, 53, 78
83, 27, 6, 74, 46, 82, 92, 89, 83, 78, 100, 0, 96, 91, 51, 2, 27, 98, 64
92, 89, 11, 66, 81, 8, 21, 99, 34, 96, 70, 96, 0, 46, 2, 92, 88, 66, 41
20, 6, 80, 28, 66, 62, 36, 30, 60, 49, 61, 91, 46, 0, 64, 72, 73, 74, 81
13, 71, 88, 47, 95, 2, 63, 86, 59, 79, 27, 51, 2, 64, 0, 67, 81, 56, 67
46, 32, 90, 45, 61, 34, 9, 5, 29, 63, 22, 2, 92, 72, 67, 0, 87, 63, 10
9, 82, 39, 33, 1, 7, 82, 74, 13, 66, 9, 27, 88, 73, 81, 87, 0, 43, 64
66, 3, 4, 78, 75, 63, 74, 9, 78, 27, 53, 98, 66, 74, 56, 63, 43, 0, 61
53, 23, 1, 90, 17, 71, 98, 27, 38, 20, 78, 64, 41, 81, 67, 10, 64, 61, 0
