0, 31, 93, 81, 62, 39, 71, 41, 31, 95, 34, 49, 26, 67, 91, 45, 59, 95, 88, 18, 7, 80, 93, 3, 42, 60, 28
31, 0, 74, 81, 76, 8, 74, 71, 95, 97, 63, 37, 24, 68, 28, 85, 99, 86, 17, 96, 13, 6, 63, 5, 61, 35, 42
93, 74, 0, 11, 39, 29, 69, 94, 89, 11, 42, 63, 59, 96, 68, 6, 51, 61, 14, 49, 44, 98, 98, 40, 59, 78, 6
81, 81, 11, 0, 89, 11, 58, 30, 79, 57, 72, 69, 81, 25, 22, 24, 65, 29, 76, 87, 48, 51, 33, 38, 100, 67, 41
62, 76, 39, 89, 0, 3, 23, 2, 79, 23, 79, 3, 17, 46, 83, 54, 34, 33, 87, 53, 68, 69, 65, 73, 89, 34, 51
39, 8, 29, 11, 3, 0, 58, 99, 41, 73, 3, 66, 56, 71, 68, 19, 22, 75, 24, 100, 34, 98, 47, 31, 68, 27, 81
71, 74, 69, 58, 23, 58, 0, 90, 81, 53, 76, 77, 23, 93, 9, 92, 39, 44, 62, 83, 24, 36, 76, 88, 85, 38, 88
41, 71, 94, 30, 2, 99, 90, 0, 53, 72, 63, 57, 20, 96, 99, 15, 7, 7, 67, 38, 95, 89, 54, 46, 99, 11, 26
31, 95, 89, 79, 79, 41, 81, 53, 0, 93, 10, 61, 96, 32, 55, 16, 23, 100, 79, 48, 67, 30, 75, 11, 54, 2, 65
95, 97, 11, 57, 23, 73, 53, 72, 93, 0, 90, 94, 6, 33, 22, 76, 32, 13, 88, 33, 22, 60, 42, 35, 93, 70, 49
34, 63, 42, 72, 79, 3, 76, 63, 10, 90, 0, 70, 40, 26, 16, 48, 83, 54, 7, 63, 98, 69, 25, 37, 17, 67, 58
49, 37, 63, 69, 3, 66, 77, 57, 61, 94, 70, 0, 74, 86, 31, 69, 57, 37, 20, 30, 15, 90, 23, 14, 50, 91, 69
26, 24, 59, 81, 17, 56, 23, 20, 96, 6, 40, 74, 0, 51, 8, 5, 40, 43, 29, 48, 86, 95, 62, 10, 73, 58, 70
67, 68, 96, 25, 46, 71, 93, 96, 32, 33, 26, 86, 51, 0, 90, 31, 54, 56, 8, 63, 29, 98, 71, 67, 11, 68, 97
91, 28, 68, 22, 83, 68, 9, 99, 55, 22, 16, 31, 8, 90, 0, 29, 46, 14, 12, 24, 57, 11, 57, 22, 91, 44, 83
45, 85, 6, 24, 54, 19, 92, 15, 16, 76, 48, 69, 5, 31, 29, 0, 21, 38, 40, 62, 95, 4, 72, 9, 95, 16, 99
59, 99, 51, 65, 34, 22, 39, 7, 23, 32, 83, 57, 40, 54, 46, 21, 0, 18, 11, 14, 46, 54, 21, 91, 80, 45, 5
95, 86, 61, 29, 33, 75, 44, 7, 100, 13, 54, 37, 43, 56, 14, 38, 18, 0, 10, 78, 52, 86, 50, 19, 96, 52, 29
88, 17, 14, 76, 87, 24, 62, 67, 79, 88, 7, 20, 29, 8, 12, 40, 11, 10, 0, 49, 25, 39, 61, 58, 85, 12, 47
18, 96, 49, 87, 53, 100, 83, 38, 48, 33, 63, 30, 48, 63, 24, 62, 14, 78, 49, 0, 70, 76, 9, 51, 59, 89, 71
7, 13, 44, 48, 68, 34, 24, 95, 67, 22, 98, 15, 86, 29, 57, 95, 46, 52, 25, 70, 0, 31, 50, 51, 6, 53, 52
80, 6, 98, 51, 69, 98, 36, 89, 30, 60, 69, 90, 95, 98, 11, 4, 54, 86, 39, 76, 31, 0, 83, 74, 80, 26, 88
93, 63, 98, 33, 65, 47, 76, 54, 75, 42, 25, 23, 62, 71, 57, 72, 21, 50, 61, 9, 50, 83, 0, 89, 85, 72, 26
3, 5, 40, 38, 73, 31, 88, 46, 11, 35, 37, 14, 10, 67, 22, 9, 91, 19, 58, 51, 51, 74, 89, 0, 62, 40, 19
42, 61, 59, 100, 89, 68, 85, 99, 54, 93, 17, 50, 73, 11, 91, 95, 80, 96, 85, 59, 6, 80, 85, 62, 0, 61, 27
60, 35, 78, 67, 34, 27, 38, 11, 2, 70, 67, 91, 58, 68, 44, 16, 45, 52, 12, 89, 53, 26, 72, 40, 61, 0, 17
28, 42, 6, 41, 51, 81, 88, 26, 65, 49, 58, 69, 70, 97, 83, 99, 5, 29, 47, 71, 52, 88, 26, 19, 27, 17, 0
