0, 11, 8, 74, 50, 45, 63, 81, 90, 30, 6, 77, 1, 29, 49, 19, 40
11, 0, 66, 85, 96, 51, 28, 37, 13, 29, 56, 3, 97, 5, 31, 22, 48
8, 66, 0, 97, 13, 31, 75, 73, 79, 97, 73, 36, 52, 54, 81, 75, 64
74, 85, 97, 0, 58, 96, 37, 18, 29, 72, 90, 75, 30, 15, 37, 63, 86
50, 96, 13, 58, 0, 69, 28, 44, 48, 56, 89, 83, 42, 84, 70, 71, 80
45, 51, 31, 96, 69, 0, 100, 25, 20, 38, 91, 9, 61, 11, 32, 41, 72
63, 28, 75, 37, 28, 100, 0, 40, 93, 54, 94, 83, 14, 1, 93, 1, 8
81, 37, 73, 18, 44, 25, 40, 0, 98, 50, 36, 64, 68, 65, 23, 68, 74
90, 13, 79, 29, 48, 20, 93, 98, 0, 26, 44, 7, 29, 99, 25, 41, 26
30, 29, 97, 72, 56, 38, 54, 50, 26, 0, 96, 15, 12, 60, 1, 76, 51
6, 56, 73, 90, 89, 91, 94, 36, 44, 96, 0, 17, 41, 2, 75, 83, 81
77, 3, 36, 75, 83, 9, 83, 64, 7, 15, 17, 0, 66, 10, 39, 21, 55
1, 97, 52, 30, 42, 61, 14, 68, 29, 12, 41, 66, 0, 100, 61, 59, 71
29, 5, 54, 15, 84, 11, 1, 65, 99, 60, 2, 10, 100, 0, 55, 30, 13
49, 31, 81, 37, 70, 32, 93, 23, 25, 1, 75, 39, 61, 55, 0, 67, 89
19, 22, 75, 63, 71, 41, 1, 68, 41, 76, 83, 21, 59, 30, 67, 0, 92
40, 48, 64, 86, 80, 72, 8, 74, 26, 51, 81, 55, 71, 13, 89, 92, 0
