0, 28, 77, 44, 18, 82, 38, 77, 2, 6, 20, 7, 55, 2, 44, 37, 57, 95, 29, 81, 59, 40, 75, 82, 42, 58, 33, 77, 73
28, 0, 12, 73, 24, 34, 4, 83, 78, 42, 36, 49, 76, 77, 69, 15, 90, 61, 93, 28, 29, 24, 28, 66, 24, 84, 27, 67, 4
77, 12, 0, 46, 4, 92, 69, 64, 14, 94, 52, 20, 88, 68, 73, 1, 62, 12, 13, 13, 8, 48, 9, 47, 98, 44, 58, 83, 22
44, 73, 46, 0, 2, 86, 61, 60, 73, 22, 21, 95, 53, 38, 91, 94, 11, 52, 27, 71, 95, 32, 96, 88, 74, 27, 93, 60, 85
18, 24, 4, 2, 0, 7, 8, 79, 30, 97, 37, 86, 81, 55, 93, 75, 37, 58, 3, 70, 84, 18, 37, 22, 55, 78, 88, 34, 47
82, 34, 92, 86, 7, 0, 78, 73, 62, 33, 38, 8, 57, 69, 17, 63, 99, 22, 79, 91, 33, 52, 64, 19, 85, 48, 47, 97, 45
38, 4, 69, 61, 8, 78, 0, 59, 91, 57, 43, 71, 84, 24, 46, 2, 99, 90, 75, 12, 12, 85, 73, 68, 32, 82, 36, 33, 54
77, 83, 64, 60, 79, 73, 59, 0, 19, 55, 86, 11, 9, 88, 26, 25, 69, 24, 74, 18, 63, 38, 80, 29, 22, 30, 31, 90, 12
2, 78, 14, 73, 30, 62, 91, 19, 0, 17, 10, 87, 81, 19, 83, 26, 82, 95, 31, 91, 77, 85, 74, 49, 24, 45, 27, 36, 24
6, 42, 94, 22, 97, 33, 57, 55, 17, 0, 58, 9, 98, 49, 19, 1, 50, 52, 63, 15, 63, 71, 75, 14, 32, 51, 33, 47, 34
20, 36, 52, 21, 37, 38, 43, 86, 10, 58, 0, 7, 3, 20, 9, 69, 9, 30, 23, 73, 8, 27, 76, 18, 7, 83, 37, 92, 16
7, 49, 20, 95, 86, 8, 71, 11, 87, 9, 7, 0, 22, 11, 63, 16, 50, 39, 66, 76, 66, 90, 23, 76, 7, 56, 69, 43, 22
55, 76, 88, 53, 81, 57, 84, 9, 81, 98, 3, 22, 0, 81, 90, 8, 52, 18, 80, 50, 51, 40, 20, 88, 52, 25, 50, 91, 61
2, 77, 68, 38, 55, 69, 24, 88, 19, 49, 20, 11, 81, 0, 77, 57, 85, 59, 2, 54, 62, 22, 27, 92, 53, 35, 8, 34, 54
44, 69, 73, 91, 93, 17, 46, 26, 83, 19, 9, 63, 90, 77, 0, 10, 35, 46, 21, 83, 34, 76, 6, 84, 12, 35, 81, 56, 9
37, 15, 1, 94, 75, 63, 2, 25, 26, 1, 69, 16, 8, 57, 10, 0, 65, 31, 78, 39, 90, 13, 14, 95, 1, 64, 54, 67, 5
57, 90, 62, 11, 37, 99, 99, 69, 82, 50, 9, 50, 52, 85, 35, 65, 0, 95, 86, 41, 45, 68, 33, 36, 7, 77, 76, 83, 30
95, 61, 12, 52, 58, 22, 90, 24, 95, 52, 30, 39, 18, 59, 46, 31, 95, 0, 25, 55, 12, 32, 86, 61, 70, 12, 78, 2, 65
29, 93, 13, 27, 3, 79, 75, 74, 31, 63, 23, 66, 80, 2, 21, 78, 86, 25, 0, 33, 5, 37, 40, 45, 89, 81, 11, 52, 35
81, 28, 13, 71, 70, 91, 12, 18, 91, 15, 73, 76, 50, 54, 83, 39, 41, 55, 33, 0, 45, 24, 65, 80, 98, 72, 69, 67, 92
59, 29, 8, 95, 84, 33, 12, 63, 77, 63, 8, 66, 51, 62, 34, 90, 45, 12, 5, 45, 0, 49, 60, 46, 57, 67, 42, 31, 21
40, 24, 48, 32, 18, 52, 85, 38, 85, 71, 27, 90, 40, 22, 76, 13, 68, 32, 37, 24, 49, 0, 73, 14, 28, 78, 99, 43, 43
75, 28, 9, 96, 37, 64, 73, 80, 74, 75, 76, 23, 20, 27, 6, 14, 33, 86, 40, 65, 60, 73, 0, 75, 81, 86, 79, 26, 96
82, 66, 47, 88, 22, 19, 68, 29, 49, 14, 18, 76, 88, 92, 84, 95, 36, 61, 45, 80, 46, 14, 75, 0, 78, 78, 34, 49, 7
42, 24, 98, 74, 55, 85, 32, 22, 24, 32, 7, 7, 52, 53, 12, 1, 7, 70, 89, 98, 57, 28, 81, 78, 0, 78, 71, 56, 77
58, 84, 44, 27, 78, 48, 82, 30, 45, 51, 83, 56, 25, 35, 35, 64, 77, 12, 81, 72, 67, 78, 86, 78, 78, 0, 75, 42, 83
33, 27, 58, 93, 88, 47, 36, 31, 27, 33, 37, 69, 50, 8, 81, 54, 76, 78, 11, 69, 42, 99, 79, 34, 71, 75, 0, 36, 71
77, 67, 83, 60, 34, 97, 33, 90, 36, 47, 92, 43, 91, 34, 56, 67, 83, 2, 52, 67, 31, 43, 26, 49, 56, 42, 36, 0, 15
73, 4, 22, 85, 47, 45, 54, 12, 24, 34, 16, 22, 61, 54, 9, 5, 30, 65, 35, 92, 21, 43, 96, 7, 77, 83, 71, 15, 0
