0, 20, 76, 57, 68, 81, 95, 21, 11, 5, 82, 27, 90, 51, 94, 44, 87, 56, 39, 53
20, 0, 77, 46, 99, 73, 11, 84, 35, 82, 99, 76, 29, 28, 64, 95, 50, 23, 87, 11
76, 77, 0, 45, 93, 74, 28, 92, 50, 79, 40, 90, 99, 64, 93, 46, 66, 27, 20, 40
57, 46, 45, 0, 75, 20, 59, 9, 6, 66, 86, 38, 65, 1, 67, 97, 93, 62, 62, 96
68, 99, 93, 75, 0, 78, 27, 7, 50, 87, 2, 29, 17, 59, 4, 28, 86, 22, 42, 62
81, 73, 74, 20, 78, 0, 99, 54, 13, 78, 75, 12, 99, 82, 24, 83, 7, 51, 59, 66
95, 11, 28, 59, 27, 99, 0, 94, 86, 54, 88, 44, 83, 83, 5, 50, 38, 45, 11, 2
21, 84, 92, 9, 7, 54, 94, 0, 56, 94, 50, 90, 16, 16, 24, 40, 54, 36, 49, 51
11, 35, 50, 6, 50, 13, 86, 56, 0, 21, 44, 93, 42, 37, 99, 91, 1, 79, 87, 4
5, 82, 79, 66, 87, 78, 54, 94, 21, 0, 95, 26, 97, 8, 68, 64, 69, 85, 9, 25
82, 99, 40, 86, 2, 75, 88, 50, 44, 95, 0, 68, 52, 55, 57, 73, 21, 64, 86, 5
27, 76, 90, 38, 29, 12, 44, 90, 93, 26, 68, 0, 45, 73, 23, 60, 46, 31, 10, 96
90, 29, 99, 65, 17, 99, 83, 16, 42, 97, 52, 45, 0, 64, 97, 59, 34, 40, 17, 100
51, 28, 64, 1, 59, 82, 83, 16, 37, 8, 55, 73, 64, 0, 38, 39, 100, 3, 96, 93
94, 64, 93, 67, 4, 24, 5, 24, 99, 68, 57, 23, 97, 38, 0, 5, 44, 31, 94, 41
44, 95, 46, 97, 28, 83, 50, 40, 91, 64, 73, 60, 59, 39, 5, 0, 60, 69, 70, 79
87, 50, 66, 93, 86, 7, 38, 54, 1, 69, 21, 46, 34, 100, 44, 60, 0, 19, 18, 53
56, 23, 27, 62, 22, 51, 45, 36, 79, 85, 64, 31, 40, 3, 31, 69, 19, 0, 61, 68
39, 87, 20, 62, 42, 59, 11, 49, 87, 9, 86, 10, 17, 96, 94, 70, 18, 61, 0, 35
53, 11, 40, 96, 62, 66, 2, 51, 4, 25, 5, 96, 100, 93, 41, 79, 53, 68, 35, 0
