0, 46, 24, 3, 13, 86, 22, 63, 91, 5, 38, 79, 77, 48, 42, 65, 51, 97
46, 0, 54, 12, 88, 23, 18, 59, 12, 17, 56, 5, 89, 70, 79, 93, 24, 8
24, 54, 0, 37, 4, 45, 64, 18, 64, 21, 42, 29, 23, 90, 96, 33, 85, 69
3, 12, 37, 0, 8, 11, 2, 92, 36, 35, 41, 15, 8, 58, 1, 73, 49, 82
13, 88, 4, 8, 0, 18, 68, 75, 83, 6, 29, 63, 95, 38, 100, 52, 30, 96
86, 23, 45, 11, 18, 0, 22, 87, 56, 97, 48, 70, 31, 54, 6, 59, 34, 100
22, 18, 64, 2, 68, 22, 0, 96, 81, 69, 21, 56, 32, 17, 77, 11, 21, 97
63, 59, 18, 92, 75, 87, 96, 0, 1, 95, 94, 58, 68, 83, 89, 63, 41, 70
91, 12, 64, 36, 83, 56, 81, 1, 0, 37, 44, 38, 24, 64, 2, 63, 32, 84
5, 17, 21, 35, 6, 97, 69, 95, 37, 0, 76, 39, 91, 100, 25, 27, 5, 39
38, 56, 42, 41, 29, 48, 21, 94, 44, 76, 0, 73, 49, 24, 31, 5, 98, 87
79, 5, 29, 15, 63, 70, 56, 58, 38, 39, 73, 0, 39, 3, 41, 58, 58, 59
77, 89, 23, 8, 95, 31, 32, 68, 24, 91, 49, 39, 0, 72, 73, 81, 100, 61
48, 70, 90, 58, 38, 54, 17, 83, 64, 100, 24, 3, 72, 0, 18, 23, 2, 40
42, 79, 96, 1, 100, 6, 77, 89, 2, 25, 31, 41, 73, 18, 0, 99, 61, 31
65, 93, 33, 73, 52, 59, 11, 63, 63, 27, 5, 58, 81, 23, 99, 0, 86, 98
51, 24, 85, 49, 30, 34, 21, 41, 32, 5, 98, 58, 100, 2, 61, 86, 0, 36
97, 8, 69, 82, 96, 100, 97, 70, 84, 39, 87, 59, 61, 40, 31, 98, 36, 0
