0, 86, 45, 29, 30, 96, 6, 17, 31, 52, 64, 29, 83, 71, 96, 34, 24, 92, 51, 97, 17, 4, 53, 60, 64, 6
86, 0, 50, 77, 80, 94, 13, 3, 67, 65, 93, 89, 36, 96, 98, 65, 30, 33, 62, 9, 16, 52, 76, 88, 28, 89
45, 50, 0, 56, 45, 24, 12, 46, 7, 31, 91, 84, 8, 62, 97, 26, 36, 38, 37, 62, 24, 76, 13, 85, 50, 70
29, 77, 56, 0, 3, 94, 25, 77, 20, 37, 54, 15, 76, 86, 95, 45, 27, 28, 60, 29, 43, 4, 48, 31, 48, 75
30, 80, 45, 3, 0, 10, 46, 16, 71, 33, 92, 78, 30, 67, 78, 62, 27, 4, 34, 2, 3, 27, 93, 7, 19, 62
96, 94, 24, 94, 10, 0, 38, 50, 74, 68, 50, 97, 76, 18, 80, 21, 78, 95, 4, 82, 85, 32, 53, 43, 40, 94
6, 13, 12, 25, 46, 38, 0, 79, 85, 48, 80, 39, 8, 31, 31, 38, 67, 23, 76, 3, 25, 43, 76, 64, 52, 34
17, 3, 46, 77, 16, 50, 79, 0, 39, 100, 100, 40, 32, 79, 76, 87, 10, 63, 89, 50, 76, 69, 38, 59, 7, 10
31, 67, 7, 20, 71, 74, 85, 39, 0, 24, 82, 55, 41, 93, 6, 9, 53, 93, 50, 35, 7, 87, 49, 10, 93, 5
52, 65, 31, 37, 33, 68, 48, 100, 24, 0, 51, 70, 94, 42, 10, 58, 12, 76, 4, 29, 71, 36, 99, 32, 10, 46
64, 93, 91, 54, 92, 50, 80, 100, 82, 51, 0, 99, 21, 81, 96, 38, 37, 81, 5, 69, 100, 70, 68, 61, 91, 28
29, 89, 84, 15, 78, 97, 39, 40, 55, 70, 99, 0, 11, 92, 78, 97, 9, 21, 53, 33, 52, 53, 81, 79, 2, 54
83, 36, 8, 76, 30, 76, 8, 32, 41, 94, 21, 11, 0, 89, 50, 80, 22, 10, 7, 86, 7, 78, 82, 60, 41, 60
71, 96, 62, 86, 67, 18, 31, 79, 93, 42, 81, 92, 89, 0, 18, 33, 85, 36, 74, 5, 11, 22, 55, 97, 14, 62
96, 98, 97, 95, 78, 80, 31, 76, 6, 10, 96, 78, 50, 18, 0, 73, 55, 48, 89, 63, 70, 95, 95, 36, 93, 90
34, 65, 26, 45, 62, 21, 38, 87, 9, 58, 38, 97, 80, 33, 73, 0, 69, 48, 26, 37, 78, 32, 30, 61, 10, 68
24, 30, 36, 27, 27, 78, 67, 10, 53, 12, 37, 9, 22, 85, 55, 69, 0, 91, 18, 25, 21, 72, 7, 22, 69, 76
92, 33, 38, 28, 4, 95, 23, 63, 93, 76, 81, 21, 10, 36, 48, 48, 91, 0, 97, 42, 64, 61, 45, 4, 97, 5
51, 62, 37, 60, 34, 4, 76, 89, 50, 4, 5, 53, 7, 74, 89, 26, 18, 97, 0, 24, 72, 34, 2, 36, 46, 53
97, 9, 62, 29, 2, 82, 3, 50, 35, 29, 69, 33, 86, 5, 63, 37, 25, 42, 24, 0, 12, 15, 44, 30, 71, 15
17, 16, 24, 43, 3, 85, 25, 76, 7, 71, 100, 52, 7, 11, 70, 78, 21, 64, 72, 12, 0, 52, 88, 49, 39, 17
4, 52, 76, 4, 27, 32, 43, 69, 87, 36, 70, 53, 78, 22, 95, 32, 72, 61, 34, 15, 52, 0, 77, 39, 10, 38
53, 76, 13, 48, 93, 53, 76, 38, 49, 99, 68, 81, 82, 55, 95, 30, 7, 45, 2, 44, 88, 77, 0, 41, 23, 82
60, 88, 85, 31, 7, 43, 64, 59, 10, 32, 61, 79, 60, 97, 36, 61, 22, 4, 36, 30, 49, 39, 41, 0, 99, 51
64, 28, 50, 48, 19, 40, 52, 7, 93, 10, 91, 2, 41, 14, 93, 10, 69, 97, 46, 71, 39, 10, 23, 99, 0, 77
6, 89, 70, 75, 62, 94, 34, 10, 5, 46, 28, 54, 60, 62, 90, 68, 76, 5, 53, 15, 17, 38, 82, 51, 77, 0
