0, 29, 37, 22, 74, 48, 5, 33, 82, 6, 23, 92, 49, 81, 13, 96, 64, 49, 21, 29, 25, 30, 12
29, 0, 24, 28, 92, 47, 58, 77, 9, 78, 52, 53, 4, 32, 29, 47, 20, 76, 53, 82, 2, 71, 36
37, 24, 0, 25, 3, 33, 69, 84, 6, 78, 5, 98, 56, 100, 39, 84, 94, 100, 89, 85, 36, 8, 77
22, 28, 25, 0, 4, 7, 98, 81, 93, 41, 36, 51, 59, 65, 64, 52, 67, 73, 100, 69, 27, 26, 8
74, 92, 3, 4, 0, 41, 21, 100, 52, 76, 6, 28, 97, 65, 91, 46, 73, 53, 27, 52, 92, 13, 10
48, 47, 33, 7, 41, 0, 24, 71, 99, 81, 69, 27, 51, 20, 40, 43, 27, 97, 13, 100, 75, 69, 32
5, 58, 69, 98, 21, 24, 0, 8, 49, 40, 76, 62, 18, 84, 11, 67, 2, 59, 81, 68, 42, 34, 66
33, 77, 84, 81, 100, 71, 8, 0, 34, 77, 86, 46, 22, 87, 30, 45, 48, 98, 76, 51, 12, 76, 96
82, 9, 6, 93, 52, 99, 49, 34, 0, 41, 69, 30, 41, 20, 48, 30, 96, 69, 9, 28, 96, 81, 11
6, 78, 78, 41, 76, 81, 40, 77, 41, 0, 7, 97, 88, 49, 46, 66, 84, 48, 61, 66, 32, 67, 56
23, 52, 5, 36, 6, 69, 76, 86, 69, 7, 0, 48, 31, 13, 31, 55, 87, 38, 13, 45, 29, 9, 38
92, 53, 98, 51, 28, 27, 62, 46, 30, 97, 48, 0, 20, 86, 31, 59, 87, 46, 26, 99, 61, 33, 58
49, 4, 56, 59, 97, 51, 18, 22, 41, 88, 31, 20, 0, 45, 73, 44, 15, 83, 82, 55, 34, 21, 89
81, 32, 100, 65, 65, 20, 84, 87, 20, 49, 13, 86, 45, 0, 47, 65, 68, 56, 18, 89, 51, 7, 66
13, 29, 39, 64, 91, 40, 11, 30, 48, 46, 31, 31, 73, 47, 0, 61, 6, 70, 4, 33, 60, 73, 69
96, 47, 84, 52, 46, 43, 67, 45, 30, 66, 55, 59, 44, 65, 61, 0, 77, 13, 77, 28, 77, 4, 48
64, 20, 94, 67, 73, 27, 2, 48, 96, 84, 87, 87, 15, 68, 6, 77, 0, 50, 68, 48, 43, 73, 79
49, 76, 100, 73, 53, 97, 59, 98, 69, 48, 38, 46, 83, 56, 70, 13, 50, 0, 67, 9, 87, 77, 70
21, 53, 89, 100, 27, 13, 81, 76, 9, 61, 13, 26, 82, 18, 4, 77, 68, 67, 0, 91, 100, 95, 3
29, 82, 85, 69, 52, 100, 68, 51, 28, 66, 45, 99, 55, 89, 33, 28, 48, 9, 91, 0, 81, 17, 92
25, 2, 36, 27, 92, 75, 42, 12, 96, 32, 29, 61, 34, 51, 60, 77, 43, 87, 100, 81, 0, 35, 94
30, 71, 8, 26, 13, 69, 34, 76, 81, 67, 9, 33, 21, 7, 73, 4, 73, 77, 95, 17, 35, 0, 56
12, 36, 77, 8, 10, 32, 66, 96, 11, 56, 38, 58, 89, 66, 69, 48, 79, 70, 3, 92, 94, 56, 0
